Algorithm,Method,File,Minimum_Utility,Execution_Time,Frequent_Patterns,GPU_Memory_Usage,CPU_Memory_Usage
cuEFIM,Unified-hash_table,kosarak_utility_spmf,850000,1778,170,424960.0,1819.648
cuEFIM,Unified-no_hash_table_shared_memory,kosarak_utility_spmf,850000,4713,170,424960.0,4825.088
cuEFIM,Unified-hash_table_shared_memory,kosarak_utility_spmf,850000,3109,170,423936.0,3183.616
cuEFIM,Unified-no_hash_table,kosarak_utility_spmf,875000,2840,163,423936.0,2908.16
cuEFIM,Unified-hash_table,kosarak_utility_spmf,875000,1685,163,423936.0,1724.416
cuEFIM,Unified-no_hash_table_shared_memory,kosarak_utility_spmf,875000,4515,163,423936.0,4622.336
cuEFIM,Unified-hash_table_shared_memory,kosarak_utility_spmf,875000,2843,163,423936.0,2910.208
DPHIM,local,chainstore,150000,63187,9741,,376832.0
DPHIM,global,chainstore,150000,63745,9741,,540672.0
DPHIM,local,chainstore,160000,62461,8782,,375808.0
DPHIM,global,chainstore,160000,62222,8782,,526336.0
DPHIM,local,chainstore,170000,60846,7931,,375808.0
DPHIM,global,chainstore,170000,60912,7931,,514048.0
DPHIM,local,chainstore,180000,59626,7168,,387072.0
DPHIM,global,chainstore,180000,59297,7168,,504832.0
DPHIM,local,chainstore,190000,57161,6541,,386048.0
DPHIM,global,chainstore,190000,57272,6541,,492544.0
DPHIM,local,chainstore,200000,56125,6037,,384000.0
DPHIM,global,chainstore,200000,56178,6037,,483328.0
DPHIM,local,accidents_utility_spmf,15000000,978,87069,,494592.0
DPHIM,global,accidents_utility_spmf,15000000,909,87069,,718848.0
DPHIM,local,accidents_utility_spmf,16000000,886,52236,,475136.0
DPHIM,global,accidents_utility_spmf,16000000,809,52236,,660480.0
DPHIM,local,accidents_utility_spmf,17000000,812,31037,,480256.0
DPHIM,global,accidents_utility_spmf,17000000,753,31037,,620544.0
DPHIM,local,accidents_utility_spmf,18000000,767,18185,,466944.0
DPHIM,global,accidents_utility_spmf,18000000,708,18185,,565248.0
DPHIM,local,accidents_utility_spmf,19000000,742,10529,,454656.0
DPHIM,global,accidents_utility_spmf,19000000,656,10529,,558080.0
DPHIM,local,accidents_utility_spmf,20000000,688,5989,,462848.0
DPHIM,global,accidents_utility_spmf,20000000,639,5989,,536576.0
